label,geometry,pop,centroid,pop_0,dist_0,eVTOL%_0,pop_1,dist_1,eVTOL%_1,pop_2,dist_2,eVTOL%_2,pop_3,dist_3,eVTOL%_3,pop_4,dist_4,eVTOL%_4,pop_5,dist_5,eVTOL%_5,pop_6,dist_6,eVTOL%_6,pop_7,dist_7,eVTOL%_7,pop_8,dist_8,eVTOL%_8,pop_9,dist_9,eVTOL%_9,existing_vertiport,total_commute,total_prof
0,POINT (147524.8267484695 -437785.3796935198),1214421.0,POINT (-118.4017715911054 34.06434931240423),0.0,0.0,0.0012500000000000002,197877.2,29.318109906601588,0.0012500000000000002,302470.1,17.60400202969558,0.0012500000000000002,124126.4,38.61407224254532,0.0012500000000000002,233188.3,21.519259601448827,0.0012500000000000002,234749.7,4.680336889729044,0.0012500000000000002,154690.5,19.690798591564693,0.0012500000000000002,150031.0,41.206566997784925,0.0012500000000000002,295633.5,11.472607754616773,0.0012500000000000002,225528.2,12.474179439807386,0.0012500000000000002,22,2398,23418
1,POINT (193831.06946395693 -428732.802066179),764351.0,POINT (-117.89807531601825 34.137793434079526),197877.2,29.318109906601588,0.0012500000000000002,0.0,0.0,0.0012500000000000002,257463.1,24.810977598250336,0.0012500000000000002,79119.4,45.50094115286941,0.0012500000000000002,188181.3,10.796535856340482,0.0012500000000000002,189742.7,30.544068094990585,0.0012500000000000002,109683.5,43.596260722714774,0.0012500000000000002,105024.0,30.80615856313072,0.0012500000000000002,250626.5,28.812344739535234,0.0012500000000000002,180521.2,17.328542739446434,0.0012500000000000002,4,1948,26239
2,POINT (167030.82056639862 -458331.7134100427),1810280.0,POINT (-118.19473570919335 33.87598418360855),302470.1,17.60400202969558,0.0012500000000000002,257463.1,24.810977598250336,0.0012500000000000002,0.0,0.0,0.0012500000000000002,183712.3,53.376667049950896,0.0012500000000000002,292774.2,14.016875536552092,0.0012500000000000002,294335.6,22.022249580765287,0.0012500000000000002,214276.4,37.289068005411345,0.0012500000000000002,209616.9,49.02235481147012,0.0012500000000000002,355219.4,7.661316909662877,0.0012500000000000002,285114.1,17.708768624351475,0.0012500000000000002,18,2994,36338
3,POINT (143242.84805150024 -375789.90918792645),26843.0,POINT (-118.43708102592144 34.62362212208346),124126.4,38.61407224254532,0.0012500000000000002,79119.4,45.50094115286941,0.0012500000000000002,183712.3,53.376667049950896,0.0012500000000000002,0.0,0.0,0.0012500000000000002,114430.5,47.35238062559682,0.0012500000000000002,115991.9,34.19121260344607,0.0012500000000000002,35932.7,27.223895603948147,0.0012500000000000002,31273.2,23.88340193463555,0.0012500000000000002,176875.7,49.49800979058097,0.0012500000000000002,106770.4,36.43953626000416,0.0012500000000000002,3,1210,26221
4,POINT (181964.84146615295 -441425.06661846023),1117462.0,POINT (-118.0295766456479 34.02570119732147),233188.3,21.519259601448827,0.0012500000000000002,188181.3,10.796535856340482,0.0012500000000000002,292774.2,14.016875536552092,0.0012500000000000002,114430.5,47.35238062559682,0.0012500000000000002,0.0,0.0,0.0012500000000000002,225053.8,24.067863305086906,0.0012500000000000002,144994.6,38.91739673976045,0.0012500000000000002,140335.1,37.70378116586365,0.0012500000000000002,285937.6,18.461113286744528,0.0012500000000000002,215832.3,12.269456222408143,0.0012500000000000002,14,2301,25531
5,POINT (144718.57185065473 -430795.4029925484),1133076.0,POINT (-118.43091491784193 34.12777392511734),234749.7,4.680336889729044,0.0012500000000000002,189742.7,30.544068094990585,0.0012500000000000002,294335.6,22.022249580765287,0.0012500000000000002,115991.9,34.19121260344607,0.0012500000000000002,225053.8,24.067863305086906,0.0012500000000000002,0.0,0.0,0.0012500000000000002,146556.0,15.517573921297213,0.0012500000000000002,141896.5,38.540137930578084,0.0012500000000000002,287499.0,16.14827699603734,0.0012500000000000002,217393.7,13.215591899445704,0.0012500000000000002,12,2317,23761
6,POINT (124913.0147257182 -415583.7872378607),332484.0,POINT (-118.64326141611919 34.26762080145649),154690.5,19.690798591564693,0.0012500000000000002,109683.5,43.596260722714774,0.0012500000000000002,214276.4,37.289068005411345,0.0012500000000000002,35932.7,27.223895603948147,0.0012500000000000002,144994.6,38.91739673976045,0.0012500000000000002,146556.0,15.517573921297213,0.0012500000000000002,0.0,0.0,0.0012500000000000002,61837.3,41.21455888022503,0.0012500000000000002,207439.8,30.69576076346184,0.0012500000000000002,137334.5,27.006040852824512,0.0012500000000000002,19,1516,23336
7,POINT (181357.9910229577 -380749.8981071864),285889.0,POINT (-118.02244317128229 34.5725295741208),150031.0,41.206566997784925,0.0012500000000000002,105024.0,30.80615856313072,0.0012500000000000002,209616.9,49.02235481147012,0.0012500000000000002,31273.2,23.88340193463555,0.0012500000000000002,140335.1,37.70378116586365,0.0012500000000000002,141896.5,38.540137930578084,0.0012500000000000002,61837.3,41.21455888022503,0.0012500000000000002,0.0,0.0,0.0012500000000000002,202780.3,48.62055021883712,0.0012500000000000002,132675.0,31.974725547849175,0.0012500000000000002,5,1469,29907
8,POINT (155301.56650390083 -454531.02827989496),1741914.0,POINT (-118.32075059793034 33.91219003709535),295633.5,11.472607754616773,0.0012500000000000002,250626.5,28.812344739535234,0.0012500000000000002,355219.4,7.661316909662877,0.0012500000000000002,176875.7,49.49800979058097,0.0012500000000000002,285937.6,18.461113286744528,0.0012500000000000002,287499.0,16.14827699603734,0.0012500000000000002,207439.8,30.69576076346184,0.0012500000000000002,202780.3,48.62055021883712,0.0012500000000000002,0.0,0.0,0.0012500000000000002,278277.5,16.705293371883094,0.0012500000000000002,13,2925,33054
9,POINT (165966.02700243032 -429852.1820274433),1040861.0,POINT (-118.20039910815179 34.132871192047006),225528.2,12.474179439807386,0.0012500000000000002,180521.2,17.328542739446434,0.0012500000000000002,285114.1,17.708768624351475,0.0012500000000000002,106770.4,36.43953626000416,0.0012500000000000002,215832.3,12.269456222408143,0.0012500000000000002,217393.7,13.215591899445704,0.0012500000000000002,137334.5,27.006040852824512,0.0012500000000000002,132675.0,31.974725547849175,0.0012500000000000002,278277.5,16.705293371883094,0.0012500000000000002,0.0,0.0,0.0012500000000000002,49,2224,20626
