,existing_vertiport,total_commute,total_prof,new_vertiport,eVTOL#
0,13.0,1833841,10111841,3.0,200.0
1,18.0,1271861,4722432,17.0,163.0
2,2.0,756688,8913210,14.0,250.0
3,48.0,1453413,3585131,10.0,101.0
4,5.0,1043218,3510173,10.0,192.0
5,5.0,800303,5707740,13.0,194.0
6,5.0,758696,6756813,0.0,127.0
7,10.0,1381247,2647920,11.0,123.0
8,14.0,1791237,7797500,18.0,244.0
9,11.0,1811933,9539049,0.0,186.0
10,46.0,1240985,3915989,,
11,5.0,1112379,5814194,,
12,11.0,674216,5356574,,
13,5.0,639932,5183416,,
14,,1102868,5994339,,
